x,y,celltype,id
175,-258,Cell A,cell_165
121,-248,Cell A,cell_166
364,-420,Cell A,cell_167
29,-275,Cell A,cell_168
68,-301,Cell A,cell_169
57,-155,Cell A,cell_170
492,-234,Cell A,cell_171
316,-64,Cell A,cell_172
297,-273,Cell A,cell_173
492,-359,Cell A,cell_174
117,-480,Cell A,cell_175
373,-65,Cell A,cell_176
265,-27,Cell A,cell_177
262,-79,Cell A,cell_178
173,-265,Cell A,cell_179
380,-223,Cell A,cell_180
481,-378,Cell A,cell_181
271,-269,Cell A,cell_182
228,-380,Cell A,cell_183
428,-277,Cell A,cell_184
484,-425,Cell A,cell_185
58,-272,Cell A,cell_186
68,-466,Cell A,cell_187
446,-230,Cell A,cell_188
91,-156,Cell A,cell_189
203,-174,Cell A,cell_190
362,-177,Cell A,cell_191
380,-298,Cell A,cell_192
164,-431,Cell A,cell_193
220,-152,Cell A,cell_194
44,-179,Cell A,cell_195
262,-92,Cell A,cell_196
158,-206,Cell A,cell_197
21,-254,Cell A,cell_198
163,-451,Cell A,cell_199
237,-207,Cell A,cell_200
196,-329,Cell A,cell_201
355,-165,Cell A,cell_202
200,-367,Cell A,cell_203
50,-404,Cell A,cell_204
80,-468,Cell A,cell_205
233,-197,Cell A,cell_206
369,-170,Cell A,cell_207
441,-181,Cell A,cell_208
90,-78,Cell A,cell_209
264,-479,Cell A,cell_210
408,-429,Cell A,cell_211
230,-278,Cell A,cell_212
342,-304,Cell A,cell_213
336,-265,Cell A,cell_214
434,-158,Cell A,cell_215
435,-111,Cell A,cell_216
160,-200,Cell A,cell_217
249,-286,Cell A,cell_218
280,-87,Cell A,cell_219
16,-179,Cell A,cell_220
117,-473,Cell A,cell_221
85,-258,Cell A,cell_222
375,-167,Cell A,cell_223
262,-418,Cell A,cell_224
288,-449,Cell A,cell_225
46,-79,Cell A,cell_226
351,-174,Cell A,cell_227
444,-145,Cell A,cell_228
64,-133,Cell A,cell_229
480,-441,Cell A,cell_230
202,-255,Cell A,cell_231
348,-215,Cell A,cell_232
466,-386,Cell A,cell_233
259,-95,Cell A,cell_234
180,-370,Cell A,cell_235
48,-269,Cell A,cell_236
178,-340,Cell A,cell_237
253,-449,Cell A,cell_238
417,-411,Cell A,cell_239
140,-480,Cell A,cell_240
124,-370,Cell A,cell_241
428,-331,Cell A,cell_242
334,-333,Cell A,cell_243
228,-238,Cell A,cell_244
150,-14,Cell A,cell_245
204,-360,Cell A,cell_246
497,-182,Cell A,cell_247
413,-187,Cell A,cell_248
354,-323,Cell A,cell_249
345,-464,Cell A,cell_250
288,-34,Cell A,cell_251
332,-248,Cell A,cell_252
315,-381,Cell A,cell_253
149,-15,Cell A,cell_254
222,-351,Cell A,cell_255
451,-384,Cell A,cell_256
384,-399,Cell A,cell_257
353,-70,Cell A,cell_258
294,-27,Cell A,cell_259
166,-454,Cell A,cell_260
399,-116,Cell A,cell_261
459,-475,Cell A,cell_262
419,-317,Cell A,cell_263
299,-124,Cell A,cell_264
335,-484,Cell A,cell_265
224,-485,Cell A,cell_266
71,-126,Cell A,cell_267
201,-308,Cell A,cell_268
147,-416,Cell A,cell_269
470,-204,Cell A,cell_270
98,-248,Cell A,cell_271
441,-113,Cell A,cell_272
467,-318,Cell A,cell_273
155,-54,Cell A,cell_274
480,-154,Cell A,cell_275
350,-459,Cell A,cell_276
130,-461,Cell A,cell_277
417,-424,Cell A,cell_278
424,-328,Cell A,cell_279
322,-61,Cell A,cell_280
37,-289,Cell A,cell_281
379,-36,Cell A,cell_282
323,-399,Cell A,cell_283
484,-59,Cell A,cell_284
170,-492,Cell A,cell_285
88,-435,Cell A,cell_286
133,-485,Cell A,cell_287
70,-369,Cell A,cell_288
30,-405,Cell A,cell_289
216,-86,Cell A,cell_290
370,-438,Cell A,cell_291
300,-120,Cell A,cell_292
47,-172,Cell A,cell_293
346,-488,Cell A,cell_294
178,-252,Cell A,cell_295
17,-215,Cell A,cell_296
81,-331,Cell A,cell_297
463,-315,Cell A,cell_298
155,-14,Cell A,cell_299
17,-258,Cell A,cell_300
343,-132,Cell A,cell_301
57,-83,Cell A,cell_302
445,-349,Cell A,cell_303
115,-368,Cell A,cell_304
39,-401,Cell A,cell_305
272,-71,Cell A,cell_306
280,-439,Cell A,cell_307
215,-343,Cell A,cell_308
109,-232,Cell A,cell_309
70,-368,Cell A,cell_310
347,-105,Cell A,cell_311
237,-478,Cell A,cell_312
232,-388,Cell A,cell_313
400,-371,Cell A,cell_314
212,-191,Cell A,cell_315
489,-184,Cell A,cell_316
179,-335,Cell A,cell_317
380,-438,Cell A,cell_318
396,-196,Cell A,cell_319
352,-35,Cell A,cell_320
236,-122,Cell A,cell_321
331,-446,Cell A,cell_322
318,-380,Cell A,cell_323
253,-22,Cell A,cell_324
154,-494,Cell A,cell_325
201,-187,Cell A,cell_326
315,-265,Cell A,cell_327
439,-439,Cell A,cell_328
136,-69,Cell A,cell_329
68,-377,Cell A,cell_330
100,-485,Cell A,cell_331
348,-116,Cell A,cell_332
11,-316,Cell A,cell_333
283,-217,Cell A,cell_334
423,-135,Cell A,cell_335
334,-259,Cell A,cell_336
49,-138,Cell A,cell_337
377,-436,Cell A,cell_338
313,-299,Cell A,cell_339
21,-139,Cell A,cell_340
471,-174,Cell A,cell_341
276,-39,Cell A,cell_342
201,-288,Cell A,cell_343
260,-465,Cell A,cell_344
281,-321,Cell A,cell_345
412,-171,Cell A,cell_346
82,-155,Cell A,cell_347
330,-124,Cell A,cell_348
340,-47,Cell A,cell_349
145,-416,Cell A,cell_350
160,-17,Cell A,cell_351
469,-313,Cell A,cell_352
327,-223,Cell A,cell_353
302,-31,Cell A,cell_354
170,-168,Cell A,cell_355
449,-397,Cell A,cell_356
315,-378,Cell A,cell_357
261,-335,Cell A,cell_358
356,-221,Cell A,cell_359
357,-323,Cell A,cell_360
366,-436,Cell A,cell_361
63,-149,Cell A,cell_362
379,-368,Cell A,cell_363
137,-417,Cell A,cell_364
153,-422,Cell A,cell_365
319,-48,Cell A,cell_366
237,-494,Cell A,cell_367
448,-471,Cell A,cell_368
53,-154,Cell A,cell_369
112,-374,Cell A,cell_370
244,-489,Cell A,cell_371
167,-448,Cell A,cell_372
216,-208,Cell A,cell_373
64,-405,Cell A,cell_374
333,-339,Cell A,cell_375
431,-305,Cell A,cell_376
440,-413,Cell A,cell_377
125,-385,Cell A,cell_378
403,-116,Cell A,cell_379
219,-182,Cell A,cell_380
226,-16,Cell A,cell_381
39,-194,Cell A,cell_382
303,-258,Cell A,cell_383
149,-427,Cell A,cell_384
306,-145,Cell A,cell_385
459,-277,Cell A,cell_386
368,-410,Cell A,cell_387
429,-466,Cell A,cell_388
366,-399,Cell A,cell_389
248,-24,Cell A,cell_390
200,-343,Cell A,cell_391
419,-171,Cell A,cell_392
487,-348,Cell A,cell_393
325,-154,Cell A,cell_394
70,-319,Cell A,cell_395
494,-179,Cell A,cell_396
114,-414,Cell A,cell_397
467,-211,Cell A,cell_398
489,-164,Cell A,cell_399
396,-116,Cell A,cell_400
133,-493,Cell A,cell_401
92,-281,Cell A,cell_402
466,-139,Cell A,cell_403
82,-339,Cell A,cell_404
468,-147,Cell A,cell_405
453,-221,Cell A,cell_406
430,-258,Cell A,cell_407
375,-105,Cell A,cell_408
274,-29,Cell A,cell_409
425,-177,Cell A,cell_410
217,-167,Cell A,cell_411
327,-107,Cell A,cell_412
481,-48,Cell A,cell_413
309,-277,Cell A,cell_414
431,-39,Cell A,cell_415
142,-373,Cell A,cell_416
415,-380,Cell A,cell_417
344,-41,Cell A,cell_418
361,-65,Cell A,cell_419
336,-146,Cell A,cell_420
17,-388,Cell A,cell_421
485,-348,Cell A,cell_422
424,-113,Cell A,cell_423
86,-46,Cell A,cell_424
216,-195,Cell A,cell_425
495,-63,Cell A,cell_426
132,-476,Cell A,cell_427
33,-269,Cell A,cell_428
350,-102,Cell A,cell_429
481,-192,Cell A,cell_430
11,-292,Cell A,cell_431
12,-387,Cell A,cell_432
238,-77,Cell A,cell_433
312,-498,Cell A,cell_434
425,-287,Cell A,cell_435
89,-253,Cell A,cell_436
146,-437,Cell A,cell_437
72,-427,Cell A,cell_438
346,-297,Cell A,cell_439
413,-492,Cell A,cell_440
374,-367,Cell A,cell_441
80,-467,Cell A,cell_442
172,-415,Cell A,cell_443
47,-178,Cell A,cell_444
28,-414,Cell A,cell_445
237,-116,Cell A,cell_446
18,-299,Cell A,cell_447
255,-377,Cell A,cell_448
495,-306,Cell A,cell_449
85,-98,Cell A,cell_450
230,-487,Cell A,cell_451
145,-462,Cell A,cell_452
65,-94,Cell A,cell_453
496,-92,Cell A,cell_454
188,-470,Cell A,cell_455
55,-156,Cell A,cell_456
324,-215,Cell A,cell_457
170,-10,Cell A,cell_458
48,-138,Cell A,cell_459
230,-133,Cell A,cell_460
46,-53,Cell A,cell_461
45,-429,Cell A,cell_462
183,-342,Cell A,cell_463
276,-484,Cell A,cell_464
99,-227,Cell A,cell_465
451,-331,Cell A,cell_466
106,-117,Cell A,cell_467
290,-233,Cell A,cell_468
199,-193,Cell A,cell_469
219,-314,Cell A,cell_470
188,-364,Cell A,cell_471
180,-156,Cell A,cell_472
444,-255,Cell A,cell_473
202,-124,Cell A,cell_474
62,-389,Cell A,cell_475
329,-234,Cell A,cell_476
165,-411,Cell A,cell_477
45,-73,Cell A,cell_478
92,-267,Cell A,cell_479
362,-372,Cell A,cell_480
138,-400,Cell A,cell_481
206,-356,Cell A,cell_482
362,-143,Cell A,cell_483
54,-269,Cell A,cell_484
158,-398,Cell A,cell_485
220,-448,Cell A,cell_486
219,-480,Cell A,cell_487
284,-25,Cell A,cell_488
321,-482,Cell A,cell_489
177,-480,Cell A,cell_490
229,-423,Cell A,cell_491
182,-449,Cell A,cell_492
171,-374,Cell A,cell_493
489,-163,Cell A,cell_494
86,-204,Cell A,cell_495
227,-71,Cell A,cell_496
443,-490,Cell A,cell_497
184,-29,Cell A,cell_498
349,-190,Cell A,cell_499
192,-213,Cell A,cell_500
348,-326,Cell A,cell_501
108,-237,Cell A,cell_502
83,-434,Cell A,cell_503
173,-424,Cell A,cell_504
212,-314,Cell A,cell_505
489,-404,Cell A,cell_506
132,-453,Cell A,cell_507
285,-477,Cell A,cell_508
121,-35,Cell A,cell_509
140,-160,Cell A,cell_510
249,-297,Cell A,cell_511
474,-291,Cell A,cell_512
432,-464,Cell A,cell_513
432,-386,Cell A,cell_514
62,-432,Cell A,cell_515
262,-82,Cell A,cell_516
294,-368,Cell A,cell_517
333,-383,Cell A,cell_518
72,-119,Cell A,cell_519
293,-398,Cell A,cell_520
221,-351,Cell A,cell_521
174,-23,Cell A,cell_522
495,-59,Cell A,cell_523
97,-448,Cell A,cell_524
498,-236,Cell A,cell_525
376,-166,Cell A,cell_526
316,-485,Cell A,cell_527
443,-152,Cell A,cell_528
340,-188,Cell A,cell_529
19,-377,Cell A,cell_530
219,-356,Cell A,cell_531
94,-443,Cell A,cell_532
116,-16,Cell A,cell_533
469,-422,Cell A,cell_534
29,-264,Cell A,cell_535
46,-372,Cell A,cell_536
218,-310,Cell A,cell_537
175,-259,Cell A,cell_538
389,-259,Cell A,cell_539
422,-94,Cell A,cell_540
445,-338,Cell A,cell_541
220,-337,Cell A,cell_542
351,-83,Cell A,cell_543
150,-72,Cell A,cell_544
167,-481,Cell A,cell_545
358,-106,Cell A,cell_546
177,-492,Cell A,cell_547
55,-396,Cell A,cell_548
272,-492,Cell A,cell_549
445,-309,Cell A,cell_550
279,-50,Cell A,cell_551
497,-166,Cell A,cell_552
266,-94,Cell A,cell_553
454,-325,Cell A,cell_554
315,-217,Cell A,cell_555
440,-318,Cell A,cell_556
380,-121,Cell A,cell_557
312,-29,Cell A,cell_558
462,-427,Cell A,cell_559
47,-107,Cell A,cell_560
17,-389,Cell A,cell_561
81,-200,Cell A,cell_562
138,-466,Cell A,cell_563
123,-55,Cell A,cell_564
299,-95,Cell A,cell_565
416,-41,Cell A,cell_566
327,-357,Cell A,cell_567
378,-356,Cell A,cell_568
286,-495,Cell A,cell_569
215,-72,Cell A,cell_570
198,-449,Cell A,cell_571
301,-37,Cell A,cell_572
79,-418,Cell A,cell_573
245,-495,Cell A,cell_574
200,-157,Cell A,cell_575
421,-137,Cell A,cell_576
55,-404,Cell A,cell_577
162,-475,Cell A,cell_578
322,-391,Cell A,cell_579
69,-461,Cell A,cell_580
57,-58,Cell A,cell_581
216,-421,Cell A,cell_582
339,-265,Cell A,cell_583
438,-269,Cell A,cell_584
476,-406,Cell A,cell_585
18,-391,Cell A,cell_586
116,-36,Cell A,cell_587
144,-435,Cell A,cell_588
311,-219,Cell A,cell_589
215,-448,Cell A,cell_590
31,-108,Cell A,cell_591
38,-422,Cell A,cell_592
202,-220,Cell A,cell_593
11,-273,Cell A,cell_594
407,-467,Cell A,cell_595
454,-104,Cell A,cell_596
163,-447,Cell A,cell_597
199,-487,Cell A,cell_598
420,-115,Cell A,cell_599
422,-454,Cell A,cell_600
231,-344,Cell A,cell_601
358,-43,Cell A,cell_602
412,-343,Cell A,cell_603
435,-39,Cell A,cell_604
395,-493,Cell A,cell_605
65,-89,Cell A,cell_606
71,-251,Cell A,cell_607
155,-95,Cell A,cell_608
366,-357,Cell A,cell_609
292,-456,Cell A,cell_610
139,-442,Cell A,cell_611
369,-402,Cell A,cell_612
485,-347,Cell A,cell_613
465,-468,Cell A,cell_614
429,-491,Cell A,cell_615
186,-11,Cell A,cell_616
192,-171,Cell A,cell_617
333,-121,Cell A,cell_618
216,-25,Cell A,cell_619
312,-158,Cell A,cell_620
488,-59,Cell A,cell_621
20,-255,Cell A,cell_622
494,-50,Cell A,cell_623
84,-278,Cell A,cell_624
452,-250,Cell A,cell_625
193,-218,Cell A,cell_626
120,-380,Cell A,cell_627
14,-328,Cell A,cell_628
386,-222,Cell A,cell_629
343,-467,Cell A,cell_630
370,-40,Cell A,cell_631
471,-47,Cell A,cell_632
350,-129,Cell A,cell_633
472,-374,Cell A,cell_634
162,-386,Cell A,cell_635
337,-317,Cell A,cell_636
69,-130,Cell A,cell_637
218,-334,Cell A,cell_638
74,-326,Cell A,cell_639
114,-479,Cell A,cell_640
190,-181,Cell A,cell_641
467,-313,Cell A,cell_642
60,-421,Cell A,cell_643
248,-317,Cell A,cell_644
296,-438,Cell A,cell_645
214,-482,Cell A,cell_646
426,-311,Cell A,cell_647
108,-367,Cell A,cell_648
161,-452,Cell A,cell_649
355,-111,Cell A,cell_650
51,-318,Cell A,cell_651
232,-272,Cell A,cell_652
494,-252,Cell A,cell_653
71,-180,Cell A,cell_654
378,-37,Cell A,cell_655
439,-337,Cell A,cell_656
252,-218,Cell A,cell_657
479,-302,Cell A,cell_658
358,-152,Cell A,cell_659
271,-443,Cell A,cell_660
456,-415,Cell A,cell_661
217,-83,Cell A,cell_662
267,-45,Cell A,cell_663
189,-385,Cell A,cell_664
410,-230,Cell A,cell_665
314,-392,Cell A,cell_666
29,-346,Cell A,cell_667
289,-250,Cell A,cell_668
34,-78,Cell A,cell_669
271,-332,Cell A,cell_670
268,-236,Cell A,cell_671
18,-202,Cell A,cell_672
129,-256,Cell A,cell_673
235,-496,Cell A,cell_674
216,-293,Cell A,cell_675
381,-448,Cell A,cell_676
315,-133,Cell A,cell_677
417,-174,Cell A,cell_678
154,-412,Cell A,cell_679
446,-340,Cell A,cell_680
149,-267,Cell A,cell_681
321,-32,Cell A,cell_682
324,-277,Cell A,cell_683
57,-310,Cell A,cell_684
346,-313,Cell A,cell_685
122,-467,Cell A,cell_686
397,-331,Cell A,cell_687
131,-28,Cell A,cell_688
103,-245,Cell A,cell_689
472,-337,Cell A,cell_690
368,-418,Cell A,cell_691
425,-133,Cell A,cell_692
419,-183,Cell A,cell_693
247,-217,Cell A,cell_694
73,-271,Cell A,cell_695
251,-80,Cell A,cell_696
318,-215,Cell A,cell_697
41,-74,Cell A,cell_698
188,-163,Cell A,cell_699
238,-433,Cell A,cell_700
154,-55,Cell A,cell_701
372,-104,Cell A,cell_702
495,-123,Cell A,cell_703
144,-140,Cell A,cell_704
313,-29,Cell A,cell_705
90,-443,Cell A,cell_706
282,-271,Cell A,cell_707
160,-204,Cell A,cell_708
277,-409,Cell A,cell_709
91,-241,Cell A,cell_710
33,-73,Cell A,cell_711
354,-378,Cell A,cell_712
73,-151,Cell A,cell_713
335,-261,Cell A,cell_714
101,-35,Cell A,cell_715
427,-465,Cell A,cell_716
101,-95,Cell A,cell_717
236,-20,Cell A,cell_718
411,-344,Cell A,cell_719
352,-182,Cell A,cell_720
161,-43,Cell A,cell_721
252,-223,Cell A,cell_722
229,-269,Cell A,cell_723
209,-78,Cell A,cell_724
67,-328,Cell A,cell_725
275,-62,Cell A,cell_726
236,-494,Cell A,cell_727
163,-167,Cell A,cell_728
149,-69,Cell A,cell_729
27,-420,Cell A,cell_730
67,-454,Cell A,cell_731
77,-371,Cell A,cell_732
151,-59,Cell A,cell_733
229,-493,Cell A,cell_734
197,-271,Cell A,cell_735
21,-253,Cell A,cell_736
167,-424,Cell A,cell_737
332,-162,Cell A,cell_738
406,-252,Cell A,cell_739
328,-215,Cell A,cell_740
157,-69,Cell A,cell_741
292,-367,Cell A,cell_742
461,-389,Cell A,cell_743
380,-364,Cell A,cell_744
92,-361,Cell A,cell_745
395,-471,Cell A,cell_746
258,-376,Cell A,cell_747
325,-497,Cell A,cell_748
266,-443,Cell A,cell_749
81,-403,Cell A,cell_750
475,-175,Cell A,cell_751
455,-477,Cell A,cell_752
184,-385,Cell A,cell_753
388,-122,Cell A,cell_754
286,-26,Cell A,cell_755
76,-404,Cell A,cell_756
152,-422,Cell A,cell_757
276,-75,Cell A,cell_758
226,-190,Cell A,cell_759
178,-189,Cell A,cell_760
197,-288,Cell A,cell_761
223,-443,Cell A,cell_762
371,-112,Cell A,cell_763
334,-198,Cell A,cell_764
172,-428,Cell A,cell_765
167,-478,Cell A,cell_766
474,-480,Cell A,cell_767
204,-357,Cell A,cell_768
436,-340,Cell A,cell_769
56,-276,Cell A,cell_770
333,-130,Cell A,cell_771
335,-165,Cell A,cell_772
440,-192,Cell A,cell_773
73,-121,Cell A,cell_774
435,-279,Cell A,cell_775
69,-428,Cell A,cell_776
369,-293,Cell A,cell_777
497,-251,Cell A,cell_778
32,-417,Cell A,cell_779
112,-365,Cell A,cell_780
17,-396,Cell A,cell_781
472,-340,Cell A,cell_782
418,-361,Cell A,cell_783
183,-246,Cell A,cell_784
417,-138,Cell A,cell_785
285,-26,Cell A,cell_786
104,-116,Cell A,cell_787
194,-361,Cell A,cell_788
107,-474,Cell A,cell_789
450,-253,Cell A,cell_790
452,-490,Cell A,cell_791
135,-77,Cell A,cell_792
241,-25,Cell A,cell_793
235,-17,Cell A,cell_794
320,-32,Cell A,cell_795
318,-171,Cell A,cell_796
491,-279,Cell A,cell_797
397,-306,Cell A,cell_798
259,-261,Cell A,cell_799
301,-311,Cell A,cell_800
121,-489,Cell A,cell_801
491,-316,Cell A,cell_802
212,-173,Cell A,cell_803
416,-411,Cell A,cell_804
89,-214,Cell A,cell_805
146,-461,Cell A,cell_806
234,-198,Cell A,cell_807
194,-166,Cell A,cell_808
38,-197,Cell A,cell_809
109,-465,Cell A,cell_810
324,-210,Cell A,cell_811
57,-257,Cell A,cell_812
36,-352,Cell A,cell_813
97,-359,Cell A,cell_814
438,-108,Cell A,cell_815
482,-329,Cell A,cell_816
315,-142,Cell A,cell_817
430,-99,Cell A,cell_818
173,-279,Cell A,cell_819
63,-134,Cell A,cell_820
170,-280,Cell A,cell_821
270,-31,Cell A,cell_822
392,-341,Cell A,cell_823
323,-138,Cell A,cell_824
295,-134,Cell A,cell_825
444,-356,Cell A,cell_826
261,-156,Cell A,cell_827
316,-163,Cell A,cell_828
305,-308,Cell A,cell_829
378,-162,Cell A,cell_830
446,-335,Cell A,cell_831
318,-34,Cell A,cell_832
296,-174,Cell A,cell_833
411,-459,Cell A,cell_834
208,-156,Cell A,cell_835
60,-152,Cell A,cell_836
384,-34,Cell A,cell_837
486,-304,Cell A,cell_838
254,-256,Cell A,cell_839
157,-494,Cell A,cell_840
496,-95,Cell A,cell_841
225,-71,Cell A,cell_842
345,-416,Cell A,cell_843
231,-316,Cell A,cell_844
237,-326,Cell A,cell_845
448,-411,Cell A,cell_846
384,-370,Cell A,cell_847
295,-118,Cell A,cell_848
84,-363,Cell A,cell_849
208,-63,Cell A,cell_850
38,-333,Cell A,cell_851
315,-275,Cell A,cell_852
14,-212,Cell A,cell_853
282,-437,Cell A,cell_854
174,-271,Cell A,cell_855
353,-193,Cell A,cell_856
483,-456,Cell A,cell_857
230,-390,Cell A,cell_858
482,-349,Cell A,cell_859
38,-402,Cell A,cell_860
63,-292,Cell A,cell_861
413,-79,Cell A,cell_862
333,-239,Cell A,cell_863
417,-395,Cell A,cell_864
15,-372,Cell A,cell_865
340,-478,Cell A,cell_866
462,-293,Cell A,cell_867
352,-72,Cell A,cell_868
248,-271,Cell A,cell_869
163,-481,Cell A,cell_870
397,-64,Cell A,cell_871
230,-101,Cell A,cell_872
491,-365,Cell A,cell_873
110,-492,Cell A,cell_874
443,-472,Cell A,cell_875
158,-403,Cell A,cell_876
31,-417,Cell A,cell_877
445,-128,Cell A,cell_878
78,-188,Cell A,cell_879
133,-479,Cell A,cell_880
67,-92,Cell A,cell_881
82,-23,Cell A,cell_882
165,-427,Cell A,cell_883
223,-442,Cell A,cell_884
86,-243,Cell A,cell_885
169,-415,Cell A,cell_886
189,-363,Cell A,cell_887
384,-349,Cell A,cell_888
321,-133,Cell A,cell_889
285,-251,Cell A,cell_890
440,-336,Cell A,cell_891
238,-490,Cell A,cell_892
481,-339,Cell A,cell_893
217,-17,Cell A,cell_894
136,-160,Cell A,cell_895
205,-118,Cell A,cell_896
113,-40,Cell A,cell_897
438,-295,Cell A,cell_898
192,-445,Cell A,cell_899
429,-271,Cell A,cell_900
169,-476,Cell A,cell_901
154,-88,Cell A,cell_902
247,-337,Cell A,cell_903
374,-437,Cell A,cell_904
80,-359,Cell A,cell_905
337,-277,Cell A,cell_906
433,-132,Cell A,cell_907
362,-371,Cell A,cell_908
223,-190,Cell A,cell_909
15,-249,Cell A,cell_910
45,-311,Cell A,cell_911
333,-321,Cell A,cell_912
246,-79,Cell A,cell_913
208,-364,Cell A,cell_914
442,-327,Cell A,cell_915
136,-479,Cell A,cell_916
437,-40,Cell A,cell_917
178,-396,Cell A,cell_918
315,-172,Cell A,cell_919
376,-368,Cell A,cell_920
100,-113,Cell A,cell_921
38,-433,Cell A,cell_922
194,-48,Cell A,cell_923
285,-428,Cell A,cell_924
187,-66,Cell A,cell_925
65,-386,Cell A,cell_926
492,-240,Cell A,cell_927
458,-275,Cell A,cell_928
195,-364,Cell A,cell_929
219,-449,Cell A,cell_930
59,-451,Cell A,cell_931
